# CEvNS total cross section on Germanium-73
# Includes weak charge and Helm form factor
# E_nu [GeV]    sigma [cm^2]
1.800000e-03  6.599277e+21
1.862626e-03  7.102489e+21
1.925253e-03  7.627915e+21
1.987879e-03  8.176058e+21
2.050505e-03  8.747439e+21
2.113131e-03  9.342594e+21
2.175758e-03  4.018375e+21
2.238384e-03  4.315727e+21
2.301010e-03  4.628723e+21
2.363636e-03  4.957965e+21
2.426263e-03  5.304074e+21
2.488889e-03  5.667684e+21
2.551515e-03  6.049449e+21
2.614141e-03  6.450038e+21
2.676768e-03  6.870134e+21
2.739394e-03  7.310440e+21
2.802020e-03  7.771673e+21
2.864646e-03  8.254567e+21
2.927273e-03  8.759872e+21
2.989899e-03  9.288355e+21
3.052525e-03  9.840799e+21
3.115152e-03  1.041800e+22
3.177778e-03  1.102078e+22
3.240404e-03  1.164996e+22
3.303030e-03  1.230639e+22
3.365657e-03  1.299094e+22
3.428283e-03  1.370448e+22
3.490909e-03  1.444791e+22
3.553535e-03  1.522215e+22
3.616162e-03  1.602811e+22
3.678788e-03  1.686674e+22
3.741414e-03  1.773901e+22
3.804040e-03  1.864587e+22
3.866667e-03  1.958834e+22
3.929293e-03  2.056741e+22
3.991919e-03  2.158411e+22
4.054545e-03  2.263946e+22
4.117172e-03  2.373454e+22
4.179798e-03  2.487041e+22
4.242424e-03  2.604814e+22
4.305051e-03  2.726885e+22
4.367677e-03  2.853365e+22
4.430303e-03  2.984368e+22
4.492929e-03  3.120007e+22
4.555556e-03  3.260400e+22
4.618182e-03  3.405664e+22
4.680808e-03  3.555918e+22
4.743434e-03  3.711284e+22
4.806061e-03  3.871884e+22
4.868687e-03  4.037842e+22
4.931313e-03  4.209284e+22
4.993939e-03  4.386336e+22
5.056566e-03  4.569128e+22
5.119192e-03  4.757789e+22
5.181818e-03  4.952450e+22
5.244444e-03  5.153246e+22
5.307071e-03  5.360310e+22
5.369697e-03  5.573779e+22
5.432323e-03  5.793791e+22
5.494949e-03  6.020484e+22
5.557576e-03  6.253999e+22
5.620202e-03  6.494478e+22
5.682828e-03  6.742065e+22
5.745455e-03  6.996904e+22
5.808081e-03  7.259143e+22
5.870707e-03  7.528929e+22
5.933333e-03  7.806412e+22
5.995960e-03  8.091742e+22
6.058586e-03  8.385073e+22
6.121212e-03  8.686557e+22
6.183838e-03  8.996349e+22
6.246465e-03  9.314608e+22
6.309091e-03  9.641490e+22
6.371717e-03  9.977155e+22
6.434343e-03  1.032176e+23
6.496970e-03  1.067548e+23
6.559596e-03  1.103847e+23
6.622222e-03  1.141089e+23
6.684848e-03  1.179291e+23
6.747475e-03  1.218470e+23
6.810101e-03  1.258644e+23
6.872727e-03  1.299828e+23
6.935354e-03  1.342041e+23
6.997980e-03  1.385299e+23
7.060606e-03  1.429620e+23
7.123232e-03  1.475022e+23
7.185859e-03  1.521523e+23
7.248485e-03  1.569139e+23
7.311111e-03  1.617891e+23
7.373737e-03  1.667794e+23
7.436364e-03  1.718869e+23
7.498990e-03  1.771133e+23
7.561616e-03  1.824605e+23
7.624242e-03  1.879304e+23
7.686869e-03  1.935247e+23
7.749495e-03  1.992456e+23
7.812121e-03  2.050948e+23
7.874747e-03  2.110742e+23
7.937374e-03  2.171859e+23
8.000000e-03  2.234317e+23
