# CEvNS total cross section on Xenon-131
# Includes weak charge and Helm form factor
# E_nu [GeV]    sigma [cm^2]
1.800000e-03  1.000572e+22
1.862626e-03  1.091585e+22
1.925253e-03  1.188513e+22
1.987879e-03  1.291638e+22
2.050505e-03  1.401251e+22
2.113131e-03  1.517653e+22
2.175758e-03  1.641151e+22
2.238384e-03  1.772066e+22
2.301010e-03  1.910725e+22
2.363636e-03  2.057464e+22
2.426263e-03  2.212629e+22
2.488889e-03  2.376576e+22
2.551515e-03  2.549668e+22
2.614141e-03  2.732279e+22
2.676768e-03  2.924791e+22
2.739394e-03  3.127594e+22
2.802020e-03  3.341090e+22
2.864646e-03  3.565687e+22
2.927273e-03  3.801803e+22
2.989899e-03  4.049865e+22
3.052525e-03  4.310310e+22
3.115152e-03  4.583581e+22
3.177778e-03  4.870134e+22
3.240404e-03  5.170431e+22
3.303030e-03  5.484943e+22
3.365657e-03  5.814150e+22
3.428283e-03  6.158542e+22
3.490909e-03  6.518616e+22
3.553535e-03  6.894880e+22
3.616162e-03  7.287848e+22
3.678788e-03  7.698046e+22
3.741414e-03  8.126004e+22
3.804040e-03  8.572266e+22
3.866667e-03  9.037381e+22
3.929293e-03  9.521908e+22
3.991919e-03  1.002641e+23
4.054545e-03  1.055148e+23
4.117172e-03  1.109768e+23
4.179798e-03  1.166561e+23
4.242424e-03  1.225588e+23
4.305051e-03  1.286909e+23
4.367677e-03  1.350587e+23
4.430303e-03  1.416683e+23
4.492929e-03  1.485262e+23
4.555556e-03  1.556387e+23
4.618182e-03  1.630125e+23
4.680808e-03  1.706540e+23
4.743434e-03  1.785700e+23
4.806061e-03  1.867673e+23
4.868687e-03  1.952527e+23
4.931313e-03  2.040331e+23
4.993939e-03  2.131155e+23
5.056566e-03  2.225070e+23
5.119192e-03  2.322149e+23
5.181818e-03  2.422463e+23
5.244444e-03  2.526086e+23
5.307071e-03  2.633092e+23
5.369697e-03  2.743555e+23
5.432323e-03  2.857553e+23
5.494949e-03  2.975160e+23
5.557576e-03  3.096456e+23
5.620202e-03  3.221516e+23
5.682828e-03  3.350421e+23
5.745455e-03  3.483250e+23
5.808081e-03  3.620083e+23
5.870707e-03  3.761002e+23
5.933333e-03  3.906088e+23
5.995960e-03  4.055424e+23
6.058586e-03  4.209094e+23
6.121212e-03  4.367182e+23
6.183838e-03  4.529772e+23
6.246465e-03  4.696951e+23
6.309091e-03  4.868804e+23
6.371717e-03  5.045420e+23
6.434343e-03  5.226885e+23
6.496970e-03  5.413289e+23
6.559596e-03  5.604721e+23
6.622222e-03  5.801270e+23
6.684848e-03  6.003028e+23
6.747475e-03  6.210086e+23
6.810101e-03  6.422537e+23
6.872727e-03  6.640473e+23
6.935354e-03  6.863987e+23
6.997980e-03  7.093175e+23
7.060606e-03  7.328131e+23
7.123232e-03  7.568951e+23
7.185859e-03  7.815731e+23
7.248485e-03  8.068568e+23
7.311111e-03  8.327561e+23
7.373737e-03  8.592806e+23
7.436364e-03  8.864404e+23
7.498990e-03  9.142454e+23
7.561616e-03  9.427057e+23
7.624242e-03  9.718313e+23
7.686869e-03  1.001632e+24
7.749495e-03  1.032119e+24
7.812121e-03  1.063302e+24
7.874747e-03  1.095191e+24
7.937374e-03  1.127798e+24
8.000000e-03  1.161131e+24
