# Helm form factors for common CEvNS targets
# Q^2 [GeV^2]    F^2_Ge73    F^2_Xe131    F^2_Ar40
1.000000e-04  0.053513  0.083404  0.032579
1.072267e-04  0.057327  0.089307  0.034911
1.149757e-04  0.061408  0.095620  0.037409
1.232847e-04  0.065775  0.102367  0.040084
1.321941e-04  0.070447  0.109578  0.042947
1.417474e-04  0.075445  0.117282  0.046013
1.519911e-04  0.080790  0.125511  0.049295
1.629751e-04  0.086505  0.134299  0.052807
1.747528e-04  0.092615  0.143680  0.056565
1.873817e-04  0.099146  0.153691  0.060587
2.009233e-04  0.106124  0.164370  0.064889
2.154435e-04  0.113580  0.175759  0.069491
2.310130e-04  0.121542  0.187899  0.074412
2.477076e-04  0.130044  0.200834  0.079674
2.656088e-04  0.139119  0.214609  0.085300
2.848036e-04  0.148802  0.229271  0.091312
3.053856e-04  0.159130  0.244870  0.097736
3.274549e-04  0.170141  0.261455  0.104599
3.511192e-04  0.181878  0.279077  0.111928
3.764936e-04  0.194380  0.297789  0.119753
4.037017e-04  0.207692  0.317641  0.128104
4.328761e-04  0.221859  0.338688  0.137015
4.641589e-04  0.236926  0.360981  0.146518
4.977024e-04  0.252943  0.384572  0.156649
5.336699e-04  0.269956  0.409512  0.167446
5.722368e-04  0.288015  0.435847  0.178946
6.135907e-04  0.307170  0.463623  0.191190
6.579332e-04  0.327471  0.492880  0.204218
7.054802e-04  0.348966  0.523653  0.218073
7.564633e-04  0.371704  0.555972  0.232797
8.111308e-04  0.395732  0.589856  0.248436
8.697490e-04  0.421092  0.625316  0.265034
9.326033e-04  0.447827  0.662351  0.282636
1.000000e-03  0.475973  0.700945  0.301287
1.072267e-03  0.505561  0.741068  0.321031
1.149757e-03  0.536615  0.782668  0.341912
1.232847e-03  0.569153  0.825674  0.363972
1.321941e-03  0.603179  0.869988  0.387250
1.417474e-03  0.638688  0.915484  0.411783
1.519911e-03  0.675661  0.962008  0.437604
1.629751e-03  0.714063  1.009365  0.464738
1.747528e-03  0.753838  1.057326  0.493209
1.873817e-03  0.794912  1.105618  0.523028
2.009233e-03  0.837184  1.153921  0.554200
2.154435e-03  0.880527  1.201867  0.586718
2.310130e-03  0.924783  1.249035  0.620561
2.477076e-03  0.969760  1.294950  0.655696
2.656088e-03  1.015227  1.339080  0.692071
2.848036e-03  1.060916  1.380838  0.729613
3.053856e-03  1.106511  1.419582  0.768229
3.274549e-03  1.151652  1.454616  0.807800
3.511192e-03  1.195928  1.485198  0.848178
3.764936e-03  1.238879  1.510548  0.889187
4.037017e-03  1.279991  1.529855  0.930613
4.328761e-03  1.318699  1.542296  0.972210
4.641589e-03  1.354390  1.547053  1.013688
4.977024e-03  1.386400  1.543332  1.054718
5.336699e-03  1.414030  1.530396  1.094926
5.722368e-03  1.436546  1.507594  1.133892
6.135907e-03  1.453192  1.474393  1.171154
6.579332e-03  1.463208  1.430424  1.206200
7.054802e-03  1.465844  1.375519  1.238478
7.564633e-03  1.460386  1.309755  1.267395
8.111308e-03  1.446180  1.233498  1.292327
8.697490e-03  1.422660  1.147438  1.312620
9.326033e-03  1.389386  1.052622  1.327608
1.000000e-02  1.346077  0.950474  1.336621
1.072267e-02  1.292650  0.842796  1.339007
1.149757e-02  1.229257  0.731755  1.334144
1.232847e-02  1.156320  0.619837  1.321472
1.321941e-02  1.074563  0.509780  1.300513
1.417474e-02  0.985036  0.404469  1.270902
1.519911e-02  0.889123  0.306802  1.232418
1.629751e-02  0.788537  0.219526  1.185015
1.747528e-02  0.685300  0.145054  1.128853
1.873817e-02  0.581692  0.085265  1.064326
2.009233e-02  0.480179  0.041316  0.992084
2.154435e-02  0.383313  0.013480  0.913052
2.310130e-02  0.293608  0.001031  0.828432
2.477076e-02  0.213394  0.002213  0.739693
2.656088e-02  0.144657  0.014303  0.648552
2.848036e-02  0.088877  0.033793  0.556922
3.053856e-02  0.046885  0.056689  0.466853
3.274549e-02  0.018743  0.078908  0.380445
3.511192e-02  0.003683  0.096742  0.299750
3.764936e-02  0.000113  0.107329  0.226649
4.037017e-02  0.005710  0.109048  0.162736
4.328761e-02  0.017596  0.101769  0.109198
4.641589e-02  0.032605  0.086867  0.066710
4.977024e-02  0.047604  0.066980  0.035364
5.336699e-02  0.059849  0.045505  0.014631
5.722368e-02  0.067305  0.025916  0.003390
6.135907e-02  0.068894  0.011028  0.000001
6.579332e-02  0.064602  0.002398  0.002451
7.054802e-02  0.055428  0.000012  0.008538
7.564633e-02  0.043139  0.002397  0.016096
8.111308e-02  0.029893  0.007127  0.023217
8.697490e-02  0.017784  0.011610  0.028450
9.326033e-02  0.008410  0.013900  0.030931
1.000000e-01  0.002568  0.013247  0.030431
