# Reactor antineutrino flux spectrum (U-235)
# Huber parameterization, Phys. Rev. C 84, 024617 (2011)
# E_nu [MeV]    dN/dE [1/MeV/fission]
1.8000  1.512806e+00
1.8312  1.478370e+00
1.8623  1.445108e+00
1.8935  1.412949e+00
1.9246  1.381825e+00
1.9558  1.351674e+00
1.9869  1.322437e+00
2.0181  1.294062e+00
2.0492  1.266498e+00
2.0804  1.239700e+00
2.1116  1.213623e+00
2.1427  1.188228e+00
2.1739  1.163478e+00
2.2050  1.139338e+00
2.2362  1.115776e+00
2.2673  1.092762e+00
2.2985  1.070270e+00
2.3296  1.048273e+00
2.3608  1.026747e+00
2.3920  1.005671e+00
2.4231  9.850241e-01
2.4543  9.647881e-01
2.4854  9.449453e-01
2.5166  9.254799e-01
2.5477  9.063771e-01
2.5789  8.876233e-01
2.6101  8.692059e-01
2.6412  8.511136e-01
2.6724  8.333357e-01
2.7035  8.158627e-01
2.7347  7.986855e-01
2.7658  7.817962e-01
2.7970  7.651873e-01
2.8281  7.488521e-01
2.8593  7.327843e-01
2.8905  7.169784e-01
2.9216  7.014293e-01
2.9528  6.861322e-01
2.9839  6.710830e-01
3.0151  6.562778e-01
3.0462  6.417131e-01
3.0774  6.273858e-01
3.1085  6.132928e-01
3.1397  5.994316e-01
3.1709  5.857997e-01
3.2020  5.723949e-01
3.2332  5.592151e-01
3.2643  5.462584e-01
3.2955  5.335231e-01
3.3266  5.210075e-01
3.3578  5.087099e-01
3.3889  4.966289e-01
3.4201  4.847630e-01
3.4513  4.731107e-01
3.4824  4.616708e-01
3.5136  4.504417e-01
3.5447  4.394222e-01
3.5759  4.286108e-01
3.6070  4.180062e-01
3.6382  4.076069e-01
3.6693  3.974114e-01
3.7005  3.874183e-01
3.7317  3.776260e-01
3.7628  3.680329e-01
3.7940  3.586374e-01
3.8251  3.494378e-01
3.8563  3.404324e-01
3.8874  3.316192e-01
3.9186  3.229965e-01
3.9497  3.145623e-01
3.9809  3.063146e-01
4.0121  2.982514e-01
4.0432  2.903704e-01
4.0744  2.826697e-01
4.1055  2.751468e-01
4.1367  2.677996e-01
4.1678  2.606257e-01
4.1990  2.536227e-01
4.2302  2.467881e-01
4.2613  2.401195e-01
4.2925  2.336143e-01
4.3236  2.272699e-01
4.3548  2.210839e-01
4.3859  2.150535e-01
4.4171  2.091760e-01
4.4482  2.034488e-01
4.4794  1.978692e-01
4.5106  1.924345e-01
4.5417  1.871418e-01
4.5729  1.819885e-01
4.6040  1.769717e-01
4.6352  1.720888e-01
4.6663  1.673369e-01
4.6975  1.627133e-01
4.7286  1.582152e-01
4.7598  1.538399e-01
4.7910  1.495847e-01
4.8221  1.454467e-01
4.8533  1.414233e-01
4.8844  1.375118e-01
4.9156  1.337095e-01
4.9467  1.300139e-01
4.9779  1.264221e-01
5.0090  1.229317e-01
5.0402  1.195401e-01
5.0714  1.162447e-01
5.1025  1.130431e-01
5.1337  1.099328e-01
5.1648  1.069113e-01
5.1960  1.039762e-01
5.2271  1.011253e-01
5.2583  9.835607e-02
5.2894  9.566634e-02
5.3206  9.305385e-02
5.3518  9.051640e-02
5.3829  8.805182e-02
5.4141  8.565799e-02
5.4452  8.333285e-02
5.4764  8.107436e-02
5.5075  7.888052e-02
5.5387  7.674939e-02
5.5698  7.467906e-02
5.6010  7.266766e-02
5.6322  7.071339e-02
5.6633  6.881446e-02
5.6945  6.696914e-02
5.7256  6.517572e-02
5.7568  6.343257e-02
5.7879  6.173807e-02
5.8191  6.009066e-02
5.8503  5.848879e-02
5.8814  5.693100e-02
5.9126  5.541582e-02
5.9437  5.394186e-02
5.9749  5.250773e-02
6.0060  5.111212e-02
6.0372  4.975372e-02
6.0683  4.843129e-02
6.0995  4.714360e-02
6.1307  4.588946e-02
6.1618  4.466774e-02
6.1930  4.347732e-02
6.2241  4.231712e-02
6.2553  4.118610e-02
6.2864  4.008326e-02
6.3176  3.900761e-02
6.3487  3.795821e-02
6.3799  3.693414e-02
6.4111  3.593454e-02
6.4422  3.495855e-02
6.4734  3.400536e-02
6.5045  3.307417e-02
6.5357  3.216422e-02
6.5668  3.127480e-02
6.5980  3.040519e-02
6.6291  2.955474e-02
6.6603  2.872279e-02
6.6915  2.790873e-02
6.7226  2.711197e-02
6.7538  2.633196e-02
6.7849  2.556816e-02
6.8161  2.482006e-02
6.8472  2.408718e-02
6.8784  2.336906e-02
6.9095  2.266528e-02
6.9407  2.197543e-02
6.9719  2.129913e-02
7.0030  2.063601e-02
7.0342  1.998576e-02
7.0653  1.934805e-02
7.0965  1.872261e-02
7.1276  1.810917e-02
7.1588  1.750748e-02
7.1899  1.691732e-02
7.2211  1.633850e-02
7.2523  1.577084e-02
7.2834  1.521418e-02
7.3146  1.466837e-02
7.3457  1.413330e-02
7.3769  1.360886e-02
7.4080  1.309497e-02
7.4392  1.259155e-02
7.4704  1.209855e-02
7.5015  1.161592e-02
7.5327  1.114364e-02
7.5638  1.068170e-02
7.5950  1.023008e-02
7.6261  9.788794e-03
7.6573  9.357854e-03
7.6884  8.937280e-03
7.7196  8.527100e-03
7.7508  8.127346e-03
7.7819  7.738054e-03
7.8131  7.359260e-03
7.8442  6.991002e-03
7.8754  6.633319e-03
7.9065  6.286244e-03
7.9377  5.949809e-03
7.9688  5.624040e-03
8.0000  5.308956e-03
