event_id,neutrino_energy_MeV,recoil_energy_keV_nr,detected_energy_keV_ee
1,2.9668,0.1283,None
2,4.2701,0.4436,None
3,5.2817,0.3053,None
4,1.9117,0.0653,None
5,7.4104,0.5648,None
6,7.0939,0.5316,None
7,7.3670,0.6770,None
8,2.1289,0.0729,None
9,2.7992,0.1082,None
10,5.0024,0.3270,None
11,3.7612,0.1370,None
12,1.9800,0.0368,None
13,5.3251,0.3543,None
14,5.6789,0.5723,None
15,4.4625,0.2038,None
16,2.6565,0.1540,None
17,3.2274,0.2630,None
18,3.0723,0.1059,None
19,4.2763,0.3914,None
20,2.8178,0.0694,None
21,5.0024,0.3011,None
22,4.4128,0.2657,None
23,4.2080,0.3676,None
24,2.7371,0.0933,None
25,3.4633,0.1912,None
26,4.8659,0.4298,None
27,6.2747,1.1247,0.2501
28,6.8146,0.3010,None
29,3.6308,0.1833,None
30,7.3918,0.6929,None
31,4.5680,0.3008,None
32,6.3926,0.5526,None
33,5.7471,0.5916,None
34,4.3818,0.5099,None
35,3.7860,0.3726,None
36,2.8364,0.1657,None
37,2.1103,0.0084,None
38,6.8953,0.7600,None
39,4.5804,0.4480,None
40,5.8154,0.1381,None
41,5.6354,0.4460,None
42,2.8985,0.1101,None
43,4.0342,0.4047,None
44,4.9341,0.2800,None
45,3.4943,0.1553,None
46,3.6681,0.1529,None
47,2.2344,0.0683,None
48,5.1327,0.1036,None
49,5.2444,0.3172,None
50,4.3508,0.3218,None
51,4.1646,0.3151,None
52,6.8270,0.4926,None
53,3.9225,0.1572,None
54,3.3205,0.1754,None
55,4.2080,0.0770,None
56,7.1746,0.8378,None
57,6.3181,1.1417,0.2538
58,4.5183,0.4522,None
59,2.6192,0.1087,None
60,7.2925,0.6521,None
61,6.8394,0.8736,None
62,2.4517,0.1380,None
63,2.3089,0.1207,None
64,2.6875,0.0491,None
65,6.2374,0.2846,None
66,3.9846,0.1018,None
67,2.6316,0.1231,None
68,4.5245,0.1680,None
69,3.2150,0.1654,None
70,2.0358,0.0492,None
71,3.6494,0.1758,None
72,4.6921,0.2002,None
73,5.8278,0.5562,None
74,3.0847,0.2151,None
75,3.0412,0.0384,None
76,4.3818,0.3033,None
77,4.9776,0.1813,None
78,7.7455,0.2768,None
79,6.1257,0.3783,None
80,4.0342,0.3019,None
81,3.9970,0.2546,None
82,2.6192,0.1189,None
83,3.5812,0.2880,None
84,4.8162,0.4930,None
85,7.4539,0.4622,None
86,2.3710,0.1475,None
87,7.2428,0.0006,None
88,2.8923,0.0791,None
89,4.0777,0.3279,None
90,1.9552,0.0241,None
91,4.0404,0.4381,None
92,3.3267,0.2253,None
93,4.2949,0.2398,None
94,5.0458,0.1765,None
95,4.8907,0.1015,None
96,3.7487,0.3363,None
97,7.3483,0.5473,None
98,6.8581,0.9454,None
99,6.0513,0.7496,None
100,5.9644,0.6295,None
101,6.1816,0.4522,None
102,3.6619,0.1121,None
103,4.3694,0.2462,None
104,1.8683,0.0851,None
105,3.9908,0.1987,None
106,3.3453,0.0003,None
107,3.0785,0.0852,None
108,6.4112,0.7401,None
109,5.7596,0.2254,None
110,2.1227,0.1102,None
111,3.8108,0.2730,None
112,3.6929,0.3568,None
113,4.6424,0.2270,None
114,7.8573,0.4167,None
115,7.9876,0.5801,None
116,6.1816,0.5265,None
117,6.4484,0.8801,None
118,2.1289,0.0461,None
119,3.9660,0.1721,None
120,2.9606,0.0801,None
121,6.3554,0.1328,None
122,6.7339,0.8073,None
123,2.6627,0.0196,None
124,7.9255,1.1375,0.2557
125,4.4314,0.4617,None
126,4.3445,0.1930,None
127,3.8418,0.2157,None
128,6.7463,0.4755,None
129,5.6727,0.8223,None
130,3.2212,0.1447,None
131,2.2282,0.0396,None
132,7.5656,0.3646,None
133,2.5323,0.0726,None
134,7.0939,0.0977,None
135,3.2647,0.1259,None
136,4.4873,0.2123,None
137,2.0855,0.0002,None
138,5.4492,0.2715,None
139,3.7363,0.1043,None
140,2.2965,0.0922,None
141,3.3516,0.1114,None
142,6.6098,0.6062,None
143,5.7223,0.3690,None
144,5.5175,0.3357,None
145,3.1281,0.0881,None
146,5.5610,0.3787,None
147,5.9023,0.4076,None
148,2.2841,0.1059,None
149,1.9986,0.0553,None
150,7.1063,0.9176,None
151,1.9862,0.0532,None
152,3.9473,0.2661,None
153,4.2018,0.2771,None
154,2.7744,0.1859,None
155,1.9055,0.0322,None
156,6.6408,0.5216,None
157,3.5129,0.1023,None
158,3.3640,0.0180,None
159,2.3275,0.0795,None
160,2.2282,0.0402,None
161,7.6773,0.1295,None
162,5.6913,0.6106,None
163,7.8386,0.5937,None
164,2.8116,0.1380,None
165,4.8845,0.3762,None
166,6.6346,1.1161,0.2340
167,2.9419,0.1594,None
168,6.0761,0.8504,None
169,7.5221,1.0215,0.2105
170,4.8783,0.2766,None
171,4.7231,0.2830,None
172,5.1886,0.2150,None
173,3.9349,0.1601,None
174,4.4873,0.4636,None
175,7.7766,0.7013,None
176,5.3065,0.4951,None
177,5.4803,0.6292,None
178,1.8993,0.0102,None
179,6.9512,0.9217,None
180,3.7301,0.2041,None
181,1.8931,0.0573,None
182,3.5564,0.0457,None
183,5.1141,0.6858,None
184,5.7161,0.0984,None
185,3.0226,0.0876,None
186,7.9876,1.2675,0.2559
187,2.4579,0.1082,None
188,5.7223,0.8518,None
189,2.2344,0.0470,None
190,2.0607,0.0791,None
191,4.9590,0.4276,None
192,7.4290,1.0326,0.2081
193,2.2965,0.0396,None
194,5.7720,0.3410,None
195,7.7145,0.7984,None
196,3.1654,0.0531,None
197,3.7425,0.0759,None
198,6.2498,0.4301,None
199,2.9668,0.1612,None
200,3.4136,0.1884,None
201,1.9241,0.0507,None
202,4.3694,0.3101,None
203,5.2010,0.0794,None
204,2.9854,0.0796,None
205,4.5059,0.2015,None
206,4.9279,0.5442,None
207,7.7145,1.0035,None
208,4.3073,0.3362,None
209,3.9225,0.3303,None
210,5.5982,0.2790,None
211,3.1654,0.0011,None
212,2.6316,0.1392,None
213,6.0637,0.8107,None
214,6.2002,0.6617,None
215,6.4174,0.9807,None
216,3.1033,0.0372,None
217,4.7231,0.1451,None
218,3.5191,0.2532,None
219,3.7798,0.2825,None
220,3.0847,0.0946,None
221,5.9830,0.3844,None
222,1.8372,0.0058,None
223,4.6176,0.4282,None
224,2.0420,0.0251,None
225,7.0070,0.8732,None
226,4.6921,0.2517,None
227,5.1948,0.6190,None
228,6.1754,0.8432,None
229,2.0110,0.0501,None
230,1.9241,0.0761,None
231,4.9217,0.1236,None
232,3.1530,0.0679,None
233,3.8543,0.3766,None
234,4.3570,0.1979,None
235,7.0567,0.2117,None
236,4.3259,0.3333,None
237,3.1405,0.2287,None
238,4.9962,0.4365,None
239,4.6549,0.2291,None
240,2.2406,0.0787,None
241,2.9544,0.0678,None
242,2.0545,0.0313,None
243,5.7534,0.8332,None
244,4.1956,0.3452,None
245,6.0823,0.3265,None
246,7.2490,0.5466,None
247,2.2779,0.1187,None
248,4.2515,0.3413,None
249,6.0450,0.8723,None
250,6.2685,0.0658,None
251,4.9465,0.0434,None
252,5.0148,0.0739,None
253,1.8000,0.0357,None
254,2.6068,0.0641,None
255,1.9427,0.0001,None
256,6.9760,1.3208,0.2094
257,7.6711,1.1604,None
258,5.3003,0.3715,None
259,4.7479,0.4060,None
260,5.0272,0.4648,None
261,7.0070,1.1026,0.2228
262,3.0474,0.0703,None
263,5.1389,0.5292,None
264,3.5191,0.2524,None
265,4.3011,0.4586,None
266,3.7301,0.1156,None
267,1.9614,0.0144,None
268,2.9854,0.1051,None
269,4.6362,0.3639,None
270,3.7363,0.3353,None
271,2.1351,0.0473,None
272,4.9217,0.4955,None
273,3.5688,0.2404,None
274,5.8589,0.8597,None
275,3.2026,0.2336,None
276,2.7992,0.0960,None
277,4.8845,0.1984,None
278,3.9660,0.3914,None
279,4.3508,0.2528,None
280,6.0513,0.9299,0.2209
